label,prob
0.0,0.5714683532714844
0.0,0.6420043110847473
0.0,0.5585622191429138
0.0,0.47812172770500183
0.0,0.6675589084625244
0.0,0.6354225277900696
0.0,0.7038886547088623
0.0,0.4751855432987213
0.0,0.5168096423149109
0.0,0.6107818484306335
0.0,0.3919956684112549
0.0,0.4614461362361908
0.0,0.522080659866333
0.0,0.6378358602523804
0.0,0.542239248752594
0.0,0.5836787223815918
0.0,0.49607065320014954
0.0,0.6016823053359985
0.0,0.4177895784378052
0.0,0.536674439907074
0.0,0.6266250610351562
0.0,0.5725774168968201
0.0,0.3817279636859894
0.0,0.6723145842552185
0.0,0.6044042110443115
0.0,0.4682818055152893
0.0,0.541475236415863
0.0,0.7193377017974854
0.0,0.49564874172210693
0.0,0.6196639537811279
0.0,0.6550629734992981
0.0,0.6228591203689575
0.0,0.725533127784729
0.0,0.5908265709877014
0.0,0.5073434710502625
0.0,0.6591746211051941
0.0,0.5612246990203857
0.0,0.5659367442131042
0.0,0.5269027352333069
0.0,0.510351836681366
0.0,0.5636830925941467
0.0,0.6357177495956421
0.0,0.6208081245422363
0.0,0.6204262971878052
0.0,0.6851275563240051
0.0,0.5603923201560974
0.0,0.44653019309043884
0.0,0.6576318740844727
0.0,0.7275727391242981
0.0,0.6934607625007629
1.0,0.5498188138008118
1.0,0.6473543643951416
1.0,0.5394631028175354
1.0,0.36270323395729065
1.0,0.6850706338882446
1.0,0.3354370892047882
1.0,0.593569815158844
1.0,0.6714368462562561
1.0,0.5602983236312866
1.0,0.6330150365829468
1.0,0.4777153730392456
1.0,0.7390525937080383
1.0,0.5587922930717468
1.0,0.6624581217765808
1.0,0.5440539121627808
1.0,0.6676891446113586
1.0,0.6524908542633057
1.0,0.5396588444709778
1.0,0.6194219589233398
1.0,0.4652706980705261
1.0,0.6790165901184082
1.0,0.6877219080924988
1.0,0.6041193604469299
1.0,0.6485689282417297
1.0,0.7153019905090332
1.0,0.42801347374916077
1.0,0.6943956017494202
1.0,0.5562092661857605
1.0,0.504840612411499
1.0,0.5552042126655579
1.0,0.6884905695915222
1.0,0.6378197073936462
1.0,0.5374042987823486
1.0,0.7214242219924927
1.0,0.512625515460968
1.0,0.6602701544761658
1.0,0.5625677108764648
1.0,0.5497629046440125
1.0,0.6319898366928101
1.0,0.5520324110984802
1.0,0.5278559923171997
1.0,0.6001060605049133
1.0,0.5971205234527588
1.0,0.6157800555229187
1.0,0.613837718963623
1.0,0.6365355253219604
1.0,0.6778950095176697
1.0,0.542467474937439
1.0,0.6498465538024902
1.0,0.6860167980194092
